1	26	866
2	162	513
3	87	251
4	78	978
5	56	592
6	19	878
7	271	288
8	73	482
9	295	389
10	234	944
11	243	592
12	251	239
13	104	972
14	291	203
15	95	479
16	89	842
17	61	844
18	216	585
19	44	735
20	289	293
21	235	236
22	33	471
23	81	541
24	261	121
25	165	604
26	250	406
27	233	803
28	282	216
29	45	848
30	216	239
31	176	548
32	212	658
33	48	331
34	125	516
35	253	161
36	65	470
37	51	670
38	41	536
39	205	143
40	20	402
41	66	253
42	109	983
43	180	161
44	199	149
45	192	913
46	149	205
47	225	265
48	117	723
49	175	776
50	194	921
51	273	758
52	63	951
53	95	106
54	288	760
55	37	506
56	89	681
57	26	233
58	253	722
59	211	247
60	50	396
61	257	447
62	65	369
63	177	169
64	234	573
65	162	630
66	122	804
67	220	364
68	171	954
69	258	329
70	298	522
71	285	348
72	43	165
73	235	743
74	36	977
75	107	807
76	292	312
77	47	710
78	50	480
79	90	865
80	223	231
81	36	407
82	39	406
83	172	473
84	42	793
85	226	645
86	200	793
87	37	111
88	225	148
89	123	501
90	261	158
91	200	315
92	109	244
93	285	729
94	232	434
95	176	828
96	92	652
97	68	596
98	283	425
99	259	405
100	295	837
