0;26;21;26;34;29;27;24;26;17;13;28;24;15;18
26;0;14;39;46;7;31;3;1;43;37;33;42;41;39
21;14;0;26;50;21;17;15;13;35;34;19;43;32;38
26;39;26;0;60;46;12;40;39;25;34;11;48;21;42
34;46;50;60;0;43;61;43;47;40;26;63;12;42;18
29;7;21;46;43;0;38;6;8;47;38;40;40;44;38
27;31;17;12;61;38;0;32;30;34;39;2;51;30;45
24;3;15;40;43;6;32;0;4;42;35;34;39;39;36
26;1;13;39;47;8;30;4;0;43;38;32;43;41;39
17;43;35;25;40;47;34;42;43;0;14;34;27;4;21
13;37;34;34;26;38;39;35;38;14;0;39;14;15;8
28;33;19;11;63;40;2;34;32;34;39;0;52;30;46
24;42;43;48;12;40;51;39;43;27;14;52;0;29;6
15;41;32;21;42;44;30;39;41;4;15;30;29;0;23
18;39;38;42;18;38;45;36;39;21;8;46;6;23;0
